NUMBER,GAS_USED,TXS,TIMESTAMP
238774,24864000,1184,1614069564
238775,74571000,3551,1614069573
238776,33579000,1599,1614069606
238777,50190000,2390,1614069612
238778,53550000,2550,1614069623
238779,32550000,1550,1614069645
238780,5187000,247,1614069650
238781,38640000,1840,1614069654
238782,30975000,1475,1614069658
238783,73038000,3478,1614069680
238784,34923000,1663,1614069687
238785,17787000,847,1614069690
238786,33012000,1572,1614069694
238787,53445000,2545,1614069713
238788,54327000,2587,1614069722
238789,31794000,1514,1614069727
238790,27741000,1321,1614069731
238791,54159000,2579,1614069737
238792,50841000,2421,1614069748
238793,22050000,1050,1614069754
238794,68964000,3284,1614069765
238795,25200000,1200,1614069777
238796,28560000,1360,1614069781
238797,57204000,2724,1614069809
238798,22386000,1066,1614069813
238799,66864000,3184,1614069837
238800,21504000,1024,1614069842
238801,35238000,1678,1614069846
238802,53403000,2543,1614069918
238803,47187000,2247,1614069923
238804,46074000,2194,1614069955
238805,59535000,2835,1614069965
238806,46641000,2221,1614070032
238807,50169000,2389,1614070042
238808,25704000,1224,1614070045
238809,77763000,3703,1614070056
238810,30387000,1447,1614070078
238811,25200000,1200,1614070081
238812,60249000,2869,1614070098
238813,47334000,2254,1614070136
238814,0,0,1614070138
238815,85344000,4064,1614070158
238816,18270000,870,1614070161
238817,20034000,954,1614070163
238818,65898000,3138,1614070205
238819,21000000,1000,1614070211
238820,25641000,1221,1614070214
238821,60144000,2864,1614070257
238822,39291000,1871,1614070291
238823,52752000,2512,1614070312
238824,51933000,2473,1614070323
238825,55671000,2651,1614070335
238826,29043000,1383,1614070341
238827,26670000,1270,1614070344
238828,44247000,2107,1614070350
238829,56679000,2699,1614070374
238830,23100000,1100,1614070380
238831,79800000,3800,1614070418
238832,5250000,250,1614070421
238833,80409000,3829,1614070448
238834,13293000,633,1614070450
238835,65268000,3108,1614070458
238836,13902000,662,1614070459
238837,64365000,3065,1614070467
238838,43785000,2085,1614070473
238839,64365000,3065,1614070495
238840,23079000,1099,1614070509
238841,72450000,3450,1614070518
238842,32151000,1531,1614070535
238843,75495000,3595,1614070546
238844,21105000,1005,1614070570
238845,64260000,3060,1614070608
238846,36204000,1724,1614070626
238847,48825000,2325,1614070654
238848,34293000,1633,1614070680
238849,12453000,593,1614070682
238850,73416000,3496,1614070716
238851,23814000,1134,1614070720
238852,60039000,2859,1614070727
238853,48111000,2291,1614070736
238854,39501000,1881,1614070742
238855,54600000,2600,1614070752
238856,30450000,1450,1614070757
238857,25011000,1191,1614070760
238858,60375000,2875,1614070774
238859,22764000,1084,1614070783
238860,32886000,1566,1614070788
238861,73164000,3484,1614070823
238862,34650000,1650,1614070840
238863,46389000,2209,1614070846
238864,46914000,2234,1614070858
238865,56700000,2700,1614070903
238866,11529000,549,1614070904
238867,39375000,1875,1614070909
238868,46179000,2199,1614070948
238869,37653000,1793,1614070969
238870,59199000,2819,1614070986
238871,25242000,1202,1614071010
238872,61047000,2907,1614071020
238873,24612000,1172,1614071033
238874,24003000,1143,1614071037
238875,75915000,3615,1614071046
238876,14133000,673,1614071071
238877,71526000,3406,1614071133
238878,22050000,1050,1614071137
238879,18690000,890,1614071140
238880,62580000,2980,1614071153
238881,23793000,1133,1614071161
238882,68775000,3275,1614071172
238883,39354000,1874,1614071210
238884,45633000,2173,1614071236
238885,32550000,1550,1614071241
238886,68250000,3250,1614071264
238887,31164000,1484,1614071292
238888,35784000,1704,1614071297
238889,15582000,742,1614071299
238890,81648000,3888,1614071323
238891,14322000,682,1614071325
238892,77700000,3700,1614071377
238893,12579000,599,1614071390
238894,22407000,1067,1614071393
238895,63609000,3029,1614071436
238896,43911000,2091,1614071446
238897,63819000,3039,1614071462
238898,44331000,2111,1614071504
238899,13629000,649,1614071507
238900,71652000,3412,1614071515
238901,17787000,847,1614071518
238902,68082000,3242,1614071538
